Municipality,10 Digit Code,Province,10 Digit Code
Baao,501701000,Camarines Sur,501700000
Balatan,501702000,,
Bato,501703000,,
Bombon,501704000,,
Buhi,501705000,,
Bula,501706000,,
Cabusao,501707000,,
Calabanga,501708000,,
Camaligan,501709000,,
Canaman,501710000,,
Caramoan,501711000,,
Del Gallego,501712000,,
Gainza,501713000,,
Garchitorena,501714000,,
Goa,501715000,,
Lagonoy,501717000,,
Libmanan,501718000,,
Lupi,501719000,,
Magarao,501720000,,
Milaor,501721000,,
Minalabac,501722000,,
Nabua,501723000,,
Ocampo,501725000,,
Pamplona,501726000,,
Pasacao,501727000,,
Pili (Capital),501728000,,
Presentacion,501729000,,
Ragay,501730000,,
Sagñay,501731000,,
San Fernando,501732000,,
San Jose,501733000,,
Sipocot,501734000,,
Siruma,501735000,,
Tigaon,501736000,,
Tinambac,501737000,,
