Barangays,10 Digit Code,City,10 Digit Code
Bgy. 1 - Em's Barrio (Pob.),500506005,City of Legazpi (Capital),500506000
Bgy. 2 - Em's Barrio South (Pob.),500506016,,
Bgy. 3 - Em's Barrio East (Pob.),500506027,,
Bgy. 4 - Sagpon Pob.,500506038,,
Bgy. 5 - Sagmin Pob.,500506039,,
Bgy. 6 - Bañadero Pob.,500506040,,
Bgy. 7 - Baño (Pob.),500506041,,
Bgy. 8 - Bagumbayan (Pob.),500506042,,
Bgy. 9 - Pinaric (Pob.),500506043,,
Bgy. 10 - Cabugao,500506072,,
Bgy. 11 - Maoyod Pob.,500506007,,
Bgy. 12 - Tula-tula (Pob.),500506008,,
Bgy. 13 - Ilawod West Pob.,500506009,,
Bgy. 14 - Ilawod Pob.,500506010,,
Bgy. 15 - Ilawod East Pob.,500506011,,
Bgy. 16 - Kawit-East Washington Drive (Pob.),500506012,,
"Bgy. 17 - Rizal Street., Ilawod (Pob.)",500506013,,
Bgy. 18 - Cabagñan West (Pob.),500506017,,
Bgy. 19 - Cabagñan,500506015,,
Bgy. 20 - Cabagñan East (Pob.),500506021,,
Bgy. 21 - Binanuahan West (Pob.),500506018,,
Bgy. 22 - Binanuahan East (Pob.),500506019,,
Bgy. 23 - Imperial Court Subd. (Pob.),500506020,,
Bgy. 24 - Rizal Street,500506073,,
Bgy. 25 - Lapu-lapu (Pob.),500506022,,
Bgy. 26 - Dinagaan (Pob.),500506023,,
Bgy. 27 - Victory Village South (Pob.),500506024,,
Bgy. 28 - Victory Village North (Pob.),500506025,,
Bgy. 29 - Sabang (Pob.),500506026,,
Bgy. 30 - Pigcale (Pob.),500506029,,
Bgy. 31 - Centro-Baybay (Pob.),500506030,,
Bgy. 32 - San Roque,500506067,,
Bgy. 33 - PNR-Peñaranda St.-Iraya (Pob.),500506032,,
Bgy. 34 - Oro Site-Magallanes St. (Pob.),500506033,,
Bgy. 35 - Tinago (Pob.),500506034,,
Bgy. 36 - Kapantawan (Pob.),500506028,,
Bgy. 37 - Bitano (Pob.),500506035,,
Bgy. 38 - Gogon,500506055,,
Bgy. 39 - Bonot (Pob.),500506037,,
Bgy. 40 - Cruzada,500506051,,
Bgy. 41 - Bogtong,500506046,,
Bgy. 42 - Rawis,500506064,,
Bgy. 43 - Tamaoyan,500506069,,
Bgy. 44 - Pawa,500506062,,
Bgy. 45 - Dita,500506053,,
Bgy. 46 - San Joaquin,500506066,,
Bgy. 47 - Arimbay,500506001,,
Bgy. 48 - Bagong Abre,500506003,,
Bgy. 49 - Bigaa,500506045,,
Bgy. 50 - Padang,500506061,,
Bgy. 51 - Buyuan,500506049,,
Bgy. 52 - Matanag,500506071,,
Bgy. 53 - Bonga,500506047,,
Bgy. 54 - Mabinit,500506058,,
Bgy. 55 - Estanza,500506054,,
Bgy. 56 - Taysan,500506070,,
Bgy. 57 - Dap-dap,500506052,,
Bgy. 58 - Buragwis,500506074,,
Bgy. 59 - Puro,500506063,,
Bgy. 60 - Lamba,500506077,,
Bgy. 61 - Maslog,500506060,,
Bgy. 62 - Homapon,500506056,,
Bgy. 63 - Mariawa,500506059,,
Bgy. 64 - Bagacay,500506002,,
Bgy. 65 - Imalnod,500506057,,
Bgy. 66 - Banquerohan,500506004,,
Bgy. 67 - Bariis,500506044,,
Bgy. 68 - San Francisco,500506065,,
Bgy. 69 - Buenavista,500506048,,
Bgy. 70 - Cagbacong,500506050,,
