Barangays,10 Digit Code,City,10 Digit Code
Abella,500508001,City of Ligao,500508000
Allang,500508002,,
Amtic,500508003,,
Bacong,500508004,,
Bagumbayan,500508005,,
Balanac,500508006,,
Baligang,500508007,,
Barayong,500508008,,
Basag,500508009,,
Batang,500508010,,
Bay,500508011,,
Binanowan,500508012,,
Binatagan (Pob.),500508013,,
Bobonsuran,500508014,,
Bonga,500508015,,
Busac,500508016,,
Busay,500508017,,
Cabarian,500508018,,
Calzada (Pob.),500508019,,
Catburawan,500508020,,
Cavasi,500508021,,
Culliat,500508022,,
Dunao,500508023,,
Francia,500508024,,
Guilid,500508025,,
Herrera,500508026,,
Layon,500508027,,
Macalidong,500508028,,
Mahaba,500508029,,
Malama,500508030,,
Maonon,500508031,,
Nasisi,500508032,,
Nabonton,500508033,,
Oma-oma,500508034,,
Palapas,500508035,,
Pandan,500508036,,
Paulba,500508037,,
Paulog,500508038,,
Pinamaniquian,500508039,,
Pinit,500508040,,
Ranao-ranao,500508042,,
San Vicente,500508043,,
Santa Cruz (Pob.),500508044,,
Tagpo,500508045,,
Tambo,500508046,,
Tandarura,500508047,,
Tastas,500508048,,
Tinago,500508049,,
Tinampo,500508050,,
Tiongson,500508051,,
Tomolin,500508052,,
Tuburan,500508053,,
Tula-tula Grande,500508054,,
Tula-tula Pequeño,500508055,,
Tupas,500508056,,
