Barangays,10 Digit Code,City,10 Digit Code
Agnas,500517001,City of Tabaco,500517000
Bacolod,500517002,,
Bangkilingan,500517003,,
Bantayan,500517004,,
Baranghawon,500517005,,
Basagan,500517006,,
Basud (Pob.),500517007,,
Bogñabong,500517008,,
Bombon (Pob.),500517009,,
Bonot,500517010,,
San Isidro,500517011,,
Buang,500517012,,
Buhian,500517013,,
Cabagñan,500517014,,
Cobo,500517015,,
Comon,500517016,,
Cormidal,500517017,,
Divino Rostro (Pob.),500517018,,
Fatima,500517019,,
Guinobat,500517020,,
Hacienda,500517021,,
Magapo,500517022,,
Mariroc,500517023,,
Matagbac,500517024,,
Oras,500517025,,
Oson,500517026,,
Panal,500517027,,
Pawa,500517029,,
Pinagbobong,500517030,,
Quinale Cabasan (Pob.),500517031,,
Quinastillojan,500517032,,
Rawis,500517033,,
Sagurong,500517034,,
Salvacion,500517035,,
San Antonio,500517036,,
San Carlos,500517037,,
San Juan (Pob.),500517038,,
San Lorenzo,500517039,,
San Ramon,500517040,,
San Roque,500517041,,
San Vicente,500517042,,
Santo Cristo (Pob.),500517044,,
Sua-Igot,500517045,,
Tabiguian,500517046,,
Tagas,500517048,,
Tayhi (Pob.),500517049,,
Visita,500517050,,
