Barangays,10 Digit Code,Municipality,10 Digit Code
Baclayon,500501001,Bacacay,500501000
Banao,500501002,,
Bariw,500501003,,
Basud,500501004,,
Bayandong,500501005,,
Bonga,500501006,,
Buang,500501008,,
Cabasan,500501009,,
Cagbulacao,500501010,,
Cagraray,500501011,,
Cajogutan,500501012,,
Cawayan,500501013,,
Damacan,500501014,,
Gubat Ilawod,500501015,,
Gubat Iraya,500501016,,
Hindi,500501017,,
Igang,500501018,,
Langaton,500501019,,
Manaet,500501020,,
Mapulang Daga,500501021,,
Mataas,500501022,,
Misibis,500501023,,
Nahapunan,500501024,,
Namanday,500501025,,
Namantao,500501026,,
Napao,500501027,,
Panarayon,500501028,,
Pigcobohan,500501029,,
Pili Ilawod,500501030,,
Pili Iraya,500501031,,
Barangay 1 (Pob.),500501032,,
Barangay 10 (Pob.),500501033,,
Barangay 11 (Pob.),500501034,,
Barangay 12 (Pob.),500501035,,
Barangay 13 (Pob.),500501036,,
Barangay 14 (Pob.),500501037,,
Barangay 2 (Pob.),500501038,,
Barangay 3 (Pob.),500501039,,
Barangay 4 (Pob.),500501040,,
Barangay 5 (Pob.),500501041,,
Barangay 6 (Pob.),500501042,,
Barangay 7 (Pob.),500501043,,
Barangay 8 (Pob.),500501044,,
Barangay 9 (Pob.),500501045,,
Pongco,500501046,,
Busdac,500501048,,
San Pablo,500501049,,
San Pedro,500501050,,
Sogod,500501051,,
Sula,500501052,,
Tambilagao,500501053,,
Tambongon,500501054,,
Tanagan,500501055,,
Uson,500501056,,
Vinisitahan-Basud,500501057,,
Vinisitahan-Napao,500501058,,
