Barangays,10 Digit Code,Municipality,10 Digit Code
Anoling,500502001,Camalig,500502000
Baligang,500502002,,
Bantonan,500502003,,
Bariw,500502004,,
Binanderahan,500502006,,
Binitayan,500502007,,
Bongabong,500502009,,
Cabagñan,500502010,,
Cabraran Pequeño,500502011,,
Calabidongan,500502012,,
Comun,500502013,,
Cotmon,500502014,,
Del Rosario,500502015,,
Gapo,500502016,,
Gotob,500502017,,
Ilawod,500502018,,
Iluluan,500502019,,
Libod,500502021,,
Ligban,500502022,,
Mabunga,500502023,,
Magogon,500502024,,
Manawan,500502025,,
Maninila,500502026,,
Mina,500502027,,
Miti,500502028,,
Palanog,500502029,,
Panoypoy,500502030,,
Pariaan,500502031,,
Quinartilan,500502032,,
Quirangay,500502033,,
Quitinday,500502034,,
Salugan,500502035,,
Solong,500502036,,
Sua,500502037,,
Sumlang,500502038,,
Tagaytay,500502039,,
Tagoytoy,500502040,,
Taladong,500502041,,
Taloto,500502042,,
Taplacon,500502043,,
Tinago,500502044,,
Tumpa,500502045,,
Barangay 1 (Pob.),500502046,,
Barangay 2 (Pob.),500502047,,
Barangay 3 (Pob.),500502048,,
Barangay 4 (Pob.),500502049,,
Barangay 5 (Pob.),500502050,,
Barangay 6 (Pob.),500502051,,
Barangay 7 (Pob.),500502052,,
Caguiba,500502053,,
