Barangays,10 Digit Code,Municipality,10 Digit Code
Alcala,500503001,Daraga,500503000
Alobo,500503002,,
Anislag,500503003,,
Bagumbayan,500503004,,
Balinad,500503005,,
Bañadero,500503006,,
Bañag,500503007,,
Bascaran,500503008,,
Bigao,500503009,,
Binitayan,500503010,,
Bongalon,500503011,,
Budiao,500503012,,
Burgos,500503013,,
Busay,500503014,,
Cullat,500503015,,
Canarom,500503016,,
Dela Paz,500503017,,
Dinoronan,500503018,,
Gabawan,500503019,,
Gapo,500503020,,
Ibaugan,500503021,,
Ilawod Area Pob.,500503022,,
Inarado,500503023,,
Kidaco,500503024,,
Kilicao,500503025,,
Kimantong,500503026,,
Kinawitan,500503027,,
Kiwalo,500503028,,
Lacag,500503029,,
Mabini,500503030,,
Malabog,500503031,,
Malobago,500503032,,
Maopi,500503033,,
Market Area Pob.,500503034,,
Maroroy,500503035,,
Matnog,500503036,,
Mayon,500503037,,
Mi-isi,500503038,,
Nabasan,500503039,,
Namantao,500503040,,
Pandan,500503041,,
Peñafrancia,500503042,,
Sagpon,500503044,,
Salvacion,500503045,,
San Rafael,500503046,,
San Ramon,500503047,,
San Roque,500503048,,
San Vicente Grande,500503049,,
San Vicente Pequeño,500503050,,
Sipi,500503051,,
Tabon-tabon,500503052,,
Tagas,500503053,,
Talahib,500503054,,
Villahermosa,500503055,,
