Barangays,10 Digit Code,Municipality,10 Digit Code
Agpay,500504001,Guinobatan,500504000
Balite,500504002,,
Banao,500504003,,
Batbat,500504004,,
Binogsacan Lower,500504005,,
Bololo,500504006,,
Bubulusan,500504007,,
Marcial O. Rañola,500504008,,
Calzada,500504009,,
Catomag,500504010,,
Doña Mercedes,500504011,,
Doña Tomasa,500504012,,
Ilawod,500504013,,
Inamnan Pequeño,500504014,,
Inamnan Grande,500504015,,
Inascan,500504016,,
Iraya,500504017,,
Lomacao,500504018,,
Maguiron,500504021,,
Maipon,500504022,,
Malabnig,500504023,,
Malipo,500504024,,
Malobago,500504025,,
Maninila,500504026,,
Mapaco,500504027,,
Masarawag,500504029,,
Mauraro,500504030,,
Minto,500504031,,
Morera,500504032,,
Muladbucad Pequeño,500504033,,
Muladbucad Grande,500504034,,
Ongo,500504035,,
Palanas,500504036,,
Poblacion,500504038,,
Pood,500504040,,
Quitago,500504041,,
Quibongbongan,500504042,,
San Francisco,500504043,,
San Jose,500504044,,
San Rafael,500504045,,
Sinungtan,500504046,,
Tandarora,500504047,,
Travesia,500504048,,
Binogsacan Upper,500504049,,
