Barangays,10 Digit Code,Municipality,10 Digit Code
Bagacay,500505003,Jovellar,500505000
Rizal Pob.,500505004,,
Mabini Pob.,500505005,,
Plaza Pob.,500505006,,
Magsaysay Pob,500505007,,
Calzada Pob.,500505008,,
Quitinday Pob.,500505009,,
White Deer Pob.,500505010,,
Bautista,500505011,,
Cabraran,500505012,,
Del Rosario,500505013,,
Estrella,500505014,,
Florista,500505015,,
Mamlad,500505016,,
Maogog,500505017,,
Mercado Pob.,500505018,,
Salvacion,500505019,,
San Isidro,500505020,,
San Roque,500505021,,
San Vicente,500505022,,
Sinagaran,500505023,,
Villa Paz,500505024,,
Aurora Pob.,500505025,,
