Barangays,10 Digit Code,Municipality,10 Digit Code
Alongong,500507001,Libon,500507000
Apud,500507002,,
Bacolod,500507003,,
Zone I (Pob.),500507004,,
Zone II (Pob.),500507005,,
Zone III (Pob.),500507006,,
Zone IV (Pob.),500507007,,
Zone V (Pob.),500507008,,
Zone VI (Pob.),500507009,,
Zone VII (Pob.),500507010,,
Bariw,500507011,,
Bonbon,500507012,,
Buga,500507013,,
Bulusan,500507014,,
Burabod,500507015,,
Caguscos,500507016,,
East Carisac,500507017,,
West Carisac,500507018,,
Harigue,500507019,,
Libtong,500507020,,
Linao,500507021,,
Mabayawas,500507022,,
Macabugos,500507023,,
Magallang,500507024,,
Malabiga,500507025,,
Marayag,500507026,,
Matara,500507027,,
Molosbolos,500507028,,
Natasan,500507029,,
Nogpo,500507030,,
Pantao,500507031,,
Rawis,500507033,,
Sagrada Familia,500507034,,
Salvacion,500507035,,
Sampongan,500507036,,
San Agustin,500507037,,
San Antonio,500507038,,
San Isidro,500507039,,
San Jose,500507040,,
San Pascual,500507041,,
San Ramon,500507042,,
San Vicente,500507043,,
Santa Cruz,500507044,,
Niño Jesus,500507045,,
Talin-talin,500507046,,
Tambo,500507047,,
Villa Petrona,500507049,,
