Barangays,10 Digit Code,Municipality,10 Digit Code
Binitayan,500509001,Malilipot,500509000
Calbayog,500509002,,
Canaway,500509003,,
Barangay I (Pob.),500509004,,
Barangay II (Pob.),500509005,,
Barangay III (Pob.),500509006,,
Barangay IV (Pob.),500509007,,
Barangay V (Pob.),500509008,,
Salvacion,500509009,,
San Antonio Santicon (Pob.),500509010,,
San Antonio Sulong,500509011,,
San Francisco,500509012,,
San Isidro Ilawod,500509013,,
San Isidro Iraya,500509014,,
San Jose,500509015,,
San Roque,500509016,,
Santa Cruz,500509017,,
Santa Teresa,500509018,,
