Barangays,10 Digit Code,Municipality,10 Digit Code
Awang,500510001,Malinao,500510000
Bagatangki,500510002,,
Balading,500510003,,
Balza,500510004,,
Bariw,500510005,,
Baybay,500510006,,
Bulang,500510007,,
Burabod,500510008,,
Cabunturan,500510009,,
Comun,500510010,,
Diaro,500510011,,
Estancia,500510012,,
Jonop,500510013,,
Labnig,500510014,,
Libod,500510015,,
Malolos,500510016,,
Matalipni,500510017,,
Ogob,500510018,,
Pawa,500510019,,
Payahan,500510020,,
Poblacion,500510021,,
Bagumbayan,500510022,,
Quinarabasahan,500510023,,
Santa Elena,500510024,,
Soa,500510025,,
Sugcad,500510026,,
Tagoytoy,500510027,,
Tanawan,500510028,,
Tuliw,500510029,,
