Barangays,10 Digit Code,Municipality,10 Digit Code
Badbad,500512001,Oas,500512000
Badian,500512002,,
Bagsa,500512003,,
Bagumbayan,500512004,,
Balogo,500512005,,
Banao,500512008,,
Bangiawon,500512009,,
Bongoran,500512010,,
Bogtong,500512011,,
Busac,500512012,,
Cadawag,500512013,,
Cagmanaba,500512014,,
Calaguimit,500512015,,
Calpi,500512016,,
Calzada,500512017,,
Camagong,500512018,,
Casinagan,500512019,,
Centro Poblacion,500512020,,
Coliat,500512021,,
Del Rosario,500512022,,
Gumabao,500512023,,
Ilaor Norte,500512024,,
Ilaor Sur,500512025,,
Iraya Norte,500512026,,
Iraya Sur,500512027,,
Manga,500512028,,
Maporong,500512029,,
Maramba,500512030,,
Moroponros,500512031,,
Matambo,500512032,,
Mayag,500512033,,
Mayao,500512034,,
Nagas,500512035,,
San Pascual,500512036,,
Obaliw-Rinas,500512037,,
Pistola,500512038,,
Ramay,500512039,,
Rizal,500512040,,
Saban,500512041,,
San Agustin,500512042,,
San Antonio,500512043,,
San Isidro,500512044,,
San Jose,500512045,,
San Juan,500512046,,
San Miguel,500512047,,
San Ramon,500512049,,
San Vicente,500512050,,
Talisay,500512051,,
Talongog,500512052,,
Tapel,500512053,,
Tobgon,500512054,,
Tobog,500512055,,
Tablon,500512056,,
