Barangays,10 Digit Code,Municipality,10 Digit Code
Agol,500513001,Pio Duran,500513000
Alabangpuro,500513002,,
Basicao Coastal,500513003,,
Basicao Interior,500513004,,
Banawan,500513005,,
Binodegahan,500513006,,
Buenavista,500513007,,
Buyo,500513008,,
Caratagan,500513009,,
Cuyaoyao,500513010,,
Flores,500513011,,
Lawinon,500513012,,
Macasitas,500513013,,
Malapay,500513014,,
Malidong,500513015,,
Mamlad,500513016,,
Marigondon,500513017,,
Matanglad,500513018,,
Nablangbulod,500513019,,
Oringon,500513020,,
Palapas,500513021,,
Panganiran,500513022,,
Barangay I (Pob.),500513023,,
Barangay II (Pob.),500513024,,
Barangay III (Pob.),500513025,,
Barangay IV (Pob.),500513026,,
Barangay V (Pob.),500513027,,
Rawis,500513028,,
Salvacion,500513029,,
Santo Cristo,500513030,,
Sukip,500513031,,
Tibabo,500513032,,
La Medalla,500513033,,
