Barangays,10 Digit Code,Municipality,10 Digit Code
Agos,500514001,Polangui,500514000
Alnay,500514002,,
Alomon,500514003,,
Amoguis,500514004,,
Anopol,500514005,,
Apad,500514006,,
Balaba,500514007,,
Balangibang,500514008,,
Balinad,500514009,,
Basud,500514010,,
Binagbangan,500514011,,
Buyo,500514012,,
Centro Occidental (Pob.),500514013,,
Centro Oriental (Pob.),500514014,,
Cepres,500514015,,
Cotmon,500514016,,
Cotnogan,500514017,,
Danao,500514018,,
Gabon,500514019,,
Gamot,500514020,,
Itaran,500514022,,
Kinale,500514023,,
Kinuartilan,500514024,,
La Medalla,500514025,,
La Purisima,500514026,,
Lanigay,500514027,,
Lidong,500514028,,
Lourdes,500514029,,
Magpanambo,500514030,,
Magurang,500514031,,
Matacon,500514032,,
Maynaga,500514033,,
Maysua,500514034,,
Mendez,500514035,,
Napo,500514036,,
Pinagdapugan,500514037,,
Ponso,500514039,,
Salvacion,500514040,,
San Roque,500514041,,
Santicon,500514042,,
Santa Cruz,500514043,,
Santa Teresita,500514044,,
Sugcad,500514045,,
Ubaliw,500514046,,
