Barangays,10 Digit Code,Municipality,10 Digit Code
Bagaobawan,500515003,Rapu-Rapu,500515000
Batan,500515004,,
Bilbao,500515005,,
Binosawan,500515006,,
Bogtong,500515007,,
Buenavista,500515008,,
Buhatan,500515009,,
Calanaga,500515010,,
Caracaran,500515011,,
Carogcog,500515012,,
Dap-dap,500515013,,
Gaba,500515014,,
Galicia,500515015,,
Guadalupe,500515016,,
Hamorawon,500515017,,
Lagundi,500515018,,
Liguan,500515019,,
Linao,500515020,,
Malobago,500515021,,
Mananao,500515022,,
Mancao,500515023,,
Manila,500515024,,
Masaga,500515025,,
Morocborocan,500515026,,
Nagcalsot,500515027,,
Pagcolbon,500515028,,
Poblacion,500515029,,
Sagrada,500515030,,
San Ramon,500515031,,
Santa Barbara,500515032,,
Tinocawan,500515033,,
Tinopan,500515034,,
Viga,500515035,,
Villahermosa,500515036,,
