Barangays,10 Digit Code,Municipality,10 Digit Code
Alimsog,500516001,Santo Domingo,500516000
Buhatan,500516002,,
Calayucay,500516003,,
Fidel Surtida,500516004,,
Lidong,500516005,,
Bagong San Roque,500516006,,
San Juan Pob.,500516008,,
Santo Domingo Pob.,500516009,,
San Pedro Pob.,500516010,,
San Vicente Pob.,500516011,,
San Rafael Pob.,500516012,,
Del Rosario Pob.,500516013,,
San Francisco Pob.,500516015,,
Nagsiya Pob.,500516017,,
Salvacion,500516018,,
San Andres,500516019,,
San Fernando,500516020,,
San Isidro,500516021,,
San Roque,500516022,,
Santa Misericordia,500516023,,
Santo Niño,500516024,,
Market Site Pob.,500516025,,
Pandayan Pob.,500516026,,
