Barangays,10 Digit Code,Municipality,10 Digit Code
Bagumbayan,500518001,Tiwi,500518000
Bariis,500518002,,
Baybay,500518003,,
Belen,500518004,,
Biyong,500518005,,
Bolo,500518006,,
Cale,500518007,,
Cararayan,500518008,,
Coro-coro,500518009,,
Dap-dap,500518010,,
Gajo,500518011,,
Joroan,500518012,,
Libjo,500518013,,
Libtong,500518014,,
Matalibong,500518017,,
Maynonong,500518018,,
Mayong,500518019,,
Misibis,500518020,,
Naga,500518021,,
Nagas,500518023,,
Oyama,500518024,,
Putsan,500518025,,
San Bernardo,500518026,,
Sogod,500518027,,
Tigbi (Pob.),500518028,,
