Barangays,10 Digit Code,Municipality,10 Digit Code
Angas,501601001,Basud,501601000
Bactas,501601002,,
Binatagan,501601003,,
Caayunan,501601004,,
Guinatungan,501601005,,
Hinampacan,501601006,,
Langa,501601007,,
Laniton,501601008,,
Lidong,501601009,,
Mampili,501601010,,
Mandazo,501601011,,
Mangcamagong,501601012,,
Manmuntay,501601014,,
Mantugawe,501601015,,
Matnog,501601016,,
Mocong,501601017,,
Oliva,501601018,,
Pagsangahan,501601019,,
Pinagwarasan,501601020,,
Plaridel,501601021,,
Poblacion 1,501601022,,
San Felipe,501601025,,
San Jose,501601027,,
San Pascual,501601028,,
Taba-taba,501601030,,
Tacad,501601031,,
Taisan,501601032,,
Tuaca,501601033,,
Poblacion 2,501601034,,
