Barangays,10 Digit Code,Municipality,10 Digit Code
Alayao,501602001,Capalonga,501602000
Binawangan,501602002,,
Calabaca,501602003,,
Camagsaan,501602004,,
Catabaguangan,501602005,,
Catioan,501602006,,
Del Pilar,501602007,,
Itok,501602008,,
Lucbanan,501602009,,
Mabini,501602010,,
Mactang,501602011,,
Mataque,501602012,,
Old Camp,501602013,,
Poblacion,501602014,,
Magsaysay,501602015,,
San Antonio,501602016,,
San Isidro,501602017,,
San Roque,501602018,,
Tanawan,501602019,,
Ubang,501602020,,
Villa Aurora,501602021,,
Villa Belen,501602022,,
