Barangays,10 Digit Code,Municipality,10 Digit Code
Alawihao,501603001,Daet (Capital),501603000
Awitan,501603002,,
Bagasbas,501603003,,
Bibirao,501603004,,
Borabod,501603005,,
Calasgasan,501603006,,
Camambugan,501603007,,
Cobangbang,501603008,,
Dogongan,501603012,,
Gahonon,501603013,,
Gubat,501603014,,
Lag-On,501603015,,
Magang,501603018,,
Mambalite,501603019,,
Mancruz,501603021,,
Pamorangon,501603023,,
Barangay I (Pob.),501603024,,
Barangay II (Pob.),501603025,,
Barangay III (Pob.),501603026,,
Barangay IV (Pob.),501603027,,
Barangay V (Pob.),501603028,,
Barangay VI (Pob.),501603029,,
Barangay VII (Pob.),501603030,,
Barangay VIII (Pob.),501603031,,
San Isidro,501603032,,
