Barangays,10 Digit Code,Municipality,10 Digit Code
Bagong Bayan,501605001,Jose Panganiban,501605000
Calero,501605002,,
Dahican,501605003,,
Dayhagan,501605004,,
Larap,501605005,,
Luklukan Norte,501605006,,
Luklukan Sur,501605007,,
Motherlode,501605008,,
Nakalaya,501605009,,
Osmeña,501605010,,
Pag-Asa,501605011,,
Parang,501605012,,
Plaridel,501605013,,
North Poblacion,501605014,,
South Poblacion,501605015,,
Salvacion,501605016,,
San Isidro,501605017,,
San Jose,501605018,,
San Martin,501605019,,
San Pedro,501605020,,
San Rafael,501605021,,
Santa Cruz,501605022,,
Santa Elena,501605023,,
Santa Milagrosa,501605024,,
Santa Rosa Norte,501605025,,
Santa Rosa Sur,501605026,,
Tamisan,501605027,,
