Barangays,10 Digit Code,Municipality,10 Digit Code
Anameam,501606001,Labo,501606000
Awitan,501606002,,
Baay,501606003,,
Bagacay,501606004,,
Bagong Silang I,501606005,,
Bagong Silang II,501606006,,
Bakiad,501606007,,
Bautista,501606008,,
Bayabas,501606009,,
Bayan-bayan,501606010,,
Benit,501606011,,
Anahaw (Pob.),501606012,,
Gumamela (Pob.),501606013,,
San Francisco (Pob.),501606014,,
Kalamunding (Pob.),501606015,,
Bulhao,501606016,,
Cabatuhan,501606017,,
Cabusay,501606018,,
Calabasa,501606019,,
Canapawan,501606020,,
Daguit,501606021,,
Dalas,501606022,,
Dumagmang,501606023,,
Exciban,501606024,,
Fundado,501606025,,
Guinacutan,501606026,,
Guisican,501606027,,
Iberica,501606028,,
Lugui,501606030,,
Mabilo I,501606031,,
Mabilo II,501606032,,
Macogon,501606033,,
Mahawan-hawan,501606034,,
Malangcao-Basud,501606035,,
Malasugui,501606036,,
Malatap,501606037,,
Malaya,501606038,,
Malibago,501606039,,
Maot,501606040,,
Masalong,501606041,,
Matanlang,501606042,,
Napaod,501606043,,
Pag-Asa,501606044,,
Pangpang,501606045,,
Pinya (Pob.),501606046,,
San Antonio,501606047,,
Santa Cruz,501606048,,
Bagong Silang III,501606049,,
Submakin,501606050,,
Talobatib,501606051,,
Tigbinan,501606052,,
Tulay Na Lupa,501606053,,
