Barangays,10 Digit Code,Municipality,10 Digit Code
Apuao,501607001,Mercedes,501607000
Barangay I (Pob.),501607002,,
Barangay II (Pob.),501607003,,
Barangay III (Pob.),501607004,,
Barangay IV (Pob.),501607005,,
Barangay V (Pob.),501607006,,
Barangay VI (Pob.),501607007,,
Barangay VII (Pob.),501607008,,
Caringo,501607009,,
Catandunganon,501607010,,
Cayucyucan,501607011,,
Colasi,501607012,,
Del Rosario,501607013,,
Gaboc,501607014,,
Hamoraon,501607015,,
Hinipaan,501607016,,
Lalawigan,501607017,,
Lanot,501607018,,
Mambungalon,501607019,,
Manguisoc,501607020,,
Masalongsalong,501607021,,
Matoogtoog,501607022,,
Pambuhan,501607023,,
Quinapaguian,501607024,,
San Roque,501607025,,
Tarum,501607026,,
