Barangays,10 Digit Code,Municipality,10 Digit Code
Awitan,501608001,Paracale,501608000
Bagumbayan,501608002,,
Bakal,501608003,,
Batobalani,501608004,,
Calaburnay,501608005,,
Capacuan,501608006,,
Casalugan,501608007,,
Dagang,501608008,,
Dalnac,501608009,,
Dancalan,501608010,,
Gumaus,501608011,,
Labnig,501608012,,
Macolabo Island,501608013,,
Malacbang,501608014,,
Malaguit,501608015,,
Mampungo,501608016,,
Mangkasay,501608017,,
Maybato,501608018,,
Palanas,501608019,,
Pinagbirayan Malaki,501608020,,
Pinagbirayan Munti,501608021,,
Poblacion Norte,501608022,,
Poblacion Sur,501608023,,
Tabas,501608024,,
Talusan,501608025,,
Tawig,501608026,,
Tugos,501608027,,
