Barangays,10 Digit Code,Municipality,10 Digit Code
Aguit-It,501612001,Vinzons,501612000
Banocboc,501612002,,
Cagbalogo,501612004,,
Calangcawan Norte,501612005,,
Calangcawan Sur,501612006,,
Guinacutan,501612007,,
Mangcayo,501612008,,
Mangcawayan,501612009,,
Manlucugan,501612010,,
Matango,501612011,,
Napilihan,501612012,,
Pinagtigasan,501612013,,
Barangay I (Pob.),501612014,,
Barangay II (Pob.),501612015,,
Barangay III (Pob.),501612016,,
Sabang,501612017,,
Santo Domingo,501612018,,
Singi,501612019,,
Sula,501612020,,
