Barangays,10 Digit Code,City,10 Digit Code
Abella,501724001,City of Naga,501724000
Bagumbayan Norte,501724002,,
Bagumbayan Sur,501724003,,
Balatas,501724004,,
Calauag,501724006,,
Cararayan,501724007,,
Carolina,501724008,,
Concepcion Grande,501724009,,
Concepcion Pequeña,501724010,,
Dayangdang,501724011,,
Del Rosario,501724012,,
Dinaga,501724013,,
Igualdad Interior,501724014,,
Lerma,501724017,,
Liboton,501724018,,
Mabolo,501724019,,
Pacol,501724020,,
Panicuason,501724023,,
Peñafrancia,501724024,,
Sabang,501724025,,
San Felipe,501724026,,
San Francisco (Pob.),501724027,,
San Isidro,501724028,,
Santa Cruz,501724029,,
Tabuco,501724030,,
Tinago,501724031,,
Triangulo,501724032,,
