Barangays,10 Digit Code,Municipality,10 Digit Code
Agos,501703001,Bato,501703000
Bacolod,501703002,,
Buluang,501703003,,
Caricot,501703004,,
Cawacagan,501703005,,
Cotmon,501703006,,
Cristo Rey,501703007,,
Del Rosario,501703008,,
Divina Pastora (Pob.),501703009,,
Goyudan,501703010,,
Lobong,501703011,,
Lubigan,501703012,,
Mainit,501703013,,
Manga,501703014,,
Masoli,501703015,,
Neighborhood,501703016,,
Niño Jesus,501703017,,
Pagatpatan,501703018,,
Palo,501703019,,
Payak,501703020,,
Sagrada,501703023,,
Salvacion,501703024,,
San Isidro (Pob.),501703025,,
San Juan,501703026,,
San Miguel,501703027,,
San Rafael (Pob.),501703028,,
San Roque,501703029,,
San Vicente,501703030,,
Santa Cruz (Pob.),501703031,,
Santiago (Pob.),501703032,,
Sooc,501703033,,
Tagpolo,501703034,,
Tres Reyes (Pob.),501703035,,
