Barangays,10 Digit Code,Municipality,10 Digit Code
Antipolo,501705001,Buhi,501705000
Burocbusoc,501705002,,
Cabatuan,501705003,,
Cagmaslog,501705004,,
Amlongan,501705005,,
De La Fe,501705007,,
Divino Rostro,501705009,,
Ipil,501705010,,
Gabas,501705011,,
Ibayugan,501705012,,
Igbac,501705013,,
Iraya,501705014,,
Labawon,501705015,,
Delos Angeles,501705016,,
Monte Calvario,501705018,,
Namurabod,501705019,,
Sagrada Familia,501705020,,
Salvacion,501705021,,
San Antonio,501705022,,
San Buenaventura (Pob.),501705023,,
San Francisco,501705024,,
San Isidro,501705025,,
San Jose Baybayon,501705026,,
San Jose Salay,501705027,,
Macaangay,501705028,,
San Pascual (Pob.),501705029,,
San Pedro (Pob.),501705030,,
San Rafael,501705031,,
San Ramon,501705032,,
San Roque (Pob.),501705033,,
San Vicente,501705034,,
Santa Clara (Pob.),501705035,,
Santa Cruz,501705036,,
Santa Elena (Pob.),501705037,,
Santa Isabel,501705038,,
Santa Justina,501705039,,
Lourdes,501705040,,
Tambo,501705041,,
