Barangays,10 Digit Code,Municipality,10 Digit Code
Bagoladio,501706001,Bula,501706000
Bagumbayan,501706002,,
Balaogan,501706003,,
Caorasan,501706004,,
Casugad,501706005,,
Causip,501706006,,
Fabrica,501706007,,
Inoyonan,501706008,,
Itangon,501706009,,
Kinalabasahan,501706011,,
La Purisima,501706012,,
La Victoria,501706013,,
Lanipga,501706014,,
Lubgan,501706015,,
Ombao Heights,501706016,,
Ombao Polpog,501706017,,
Palsong,501706018,,
Panoypoyan,501706019,,
Pawili,501706020,,
Sagrada,501706021,,
Salvacion (Pob.),501706022,,
San Agustin,501706023,,
San Francisco,501706024,,
San Isidro,501706025,,
San Jose,501706026,,
San Miguel,501706027,,
San Ramon,501706028,,
San Roque (Pob.),501706029,,
San Roque Heights,501706030,,
Santa Elena,501706031,,
Santo Domingo,501706032,,
Santo Niño,501706033,,
Taisan,501706034,,
