Barangays,10 Digit Code,Municipality,10 Digit Code
Balatasan,501708001,Calabanga,501708000
Balombon,501708002,,
Balongay,501708003,,
Belen,501708004,,
Bigaas,501708005,,
Binanuaanan Grande,501708006,,
Binanuaanan Pequeño,501708007,,
Binaliw,501708008,,
Bonot-Santa Rosa,501708009,,
Burabod,501708010,,
Cabanbanan,501708011,,
Cagsao,501708012,,
Camuning,501708013,,
Comaguingking,501708014,,
Del Carmen (Pob.),501708015,,
Dominorog,501708016,,
Fabrica,501708017,,
Harobay,501708018,,
La Purisima,501708019,,
Lugsad,501708021,,
Manguiring,501708022,,
Pagatpat,501708023,,
Paolbo,501708024,,
Pinada,501708025,,
Punta Tarawal,501708026,,
Quinale,501708027,,
Sabang,501708028,,
Salvacion-Baybay,501708029,,
San Antonio Poblacion,501708030,,
San Antonio,501708031,,
San Bernardino,501708032,,
San Francisco (Pob.),501708033,,
San Isidro,501708034,,
San Lucas,501708036,,
San Miguel (Pob.),501708037,,
San Pablo (Pob.),501708038,,
San Roque,501708039,,
San Vicente (Pob.),501708040,,
Santa Cruz Ratay,501708041,,
Santa Cruz Poblacion,501708042,,
Santa Isabel (Pob.),501708043,,
Santa Salud (Pob.),501708044,,
Santo Domingo,501708045,,
Santo Niño,501708046,,
Siba-o,501708047,,
Sibobo,501708048,,
Sogod,501708049,,
Tomagodtod,501708050,,
