Barangays,10 Digit Code,Municipality,10 Digit Code
Baras (Pob.),501710001,Canaman,501710000
Del Rosario,501710002,,
Dinaga (Pob.),501710003,,
Fundado,501710004,,
Haring,501710005,,
Iquin,501710006,,
Linaga,501710007,,
Mangayawan,501710008,,
Palo,501710009,,
Pangpang (Pob.),501710010,,
Poro,501710011,,
San Agustin,501710012,,
San Francisco,501710014,,
San Jose East,501710015,,
San Jose West,501710016,,
San Juan,501710017,,
San Nicolas,501710018,,
San Roque,501710019,,
San Vicente,501710020,,
Santa Cruz (Pob.),501710021,,
Santa Teresita,501710022,,
Sua,501710023,,
Talidtid,501710024,,
Tibgao (Pob.),501710025,,
