Barangays,10 Digit Code,Municipality,10 Digit Code
Agaas,501711001,Caramoan,501711000
Antolon,501711002,,
Bacgong,501711003,,
Bahay,501711004,,
Bikal,501711005,,
Binanuahan (Pob.),501711006,,
Cabacongan,501711007,,
Cadong,501711008,,
Colongcogong,501711009,,
Canatuan,501711010,,
Caputatan,501711011,,
Gogon,501711012,,
Daraga,501711013,,
Gata,501711014,,
Gibgos,501711015,,
Guijalo,501711016,,
Hanopol,501711017,,
Hanoy,501711018,,
Haponan,501711019,,
Ilawod,501711020,,
Ili-Centro (Pob.),501711022,,
Lidong,501711023,,
Lubas,501711024,,
Malabog,501711025,,
Maligaya,501711026,,
Mampirao,501711027,,
Mandiclum,501711028,,
Maqueda,501711029,,
Minalaba,501711030,,
Oring,501711031,,
Oroc-Osoc,501711032,,
Pagolinan,501711033,,
Pandanan,501711034,,
Paniman,501711035,,
Patag-Belen,501711036,,
Pili-Centro,501711037,,
Pili-Tabiguian,501711038,,
Poloan,501711039,,
Salvacion,501711040,,
San Roque,501711041,,
San Vicente,501711042,,
Santa Cruz,501711043,,
Solnopan,501711044,,
Tabgon,501711045,,
Tabiguian,501711046,,
Tabog,501711047,,
Tawog (Pob.),501711048,,
Toboan,501711049,,
Terogo,501711050,,
