Barangays,10 Digit Code,Municipality,10 Digit Code
Bagong Silang,501712001,Del Gallego,501712000
Bucal,501712002,,
Cabasag,501712003,,
Comadaycaday,501712004,,
Domagondong,501712005,,
Kinalangan,501712006,,
Comadogcadog,501712007,,
Mabini,501712008,,
Magais I,501712009,,
Magais II,501712010,,
Mansalaya,501712011,,
Nagkalit,501712012,,
Palaspas,501712013,,
Pamplona,501712014,,
Pasay,501712015,,
Pinagdapian,501712016,,
Pinugusan,501712017,,
Zone I Fatima (Pob.),501712018,,
Zone II San Antonio (Pob.),501712019,,
Poblacion Zone III,501712020,,
Sabang,501712021,,
Salvacion,501712022,,
San Juan,501712023,,
San Pablo,501712024,,
Santa Rita I,501712025,,
Santa Rita II,501712026,,
Sinagawsawan,501712027,,
Sinuknipan I,501712028,,
Sinuknipan II,501712029,,
Sugsugin,501712030,,
Tabion,501712031,,
Tomagoktok,501712032,,
