Barangays,10 Digit Code,Municipality,10 Digit Code
Ason,501714001,Garchitorena,501714000
Bahi,501714002,,
Binagasbasan,501714003,,
Burabod,501714004,,
Cagamutan,501714005,,
Cagnipa,501714006,,
Canlong,501714007,,
Dangla,501714008,,
Del Pilar,501714009,,
Denrica,501714010,,
Harrison,501714011,,
Mansangat,501714012,,
Pambuhan,501714013,,
Barangay I (Pob.),501714014,,
Barangay II (Pob.),501714015,,
Barangay III (Pob.),501714016,,
Barangay IV (Pob.),501714017,,
Sagrada,501714018,,
Salvacion,501714019,,
San Vicente,501714020,,
Sumaoy,501714021,,
Tamiawon,501714022,,
Toytoy,501714023,,
