Barangays,10 Digit Code,Municipality,10 Digit Code
Abucayan,501715001,Goa,501715000
Bagumbayan Grande (Pob.),501715002,,
Bagumbayan Pequeño (Pob.),501715003,,
Balaynan,501715004,,
Belen (Pob.),501715005,,
Buyo,501715006,,
Cagaycay,501715007,,
Catagbacan,501715008,,
Digdigon,501715009,,
Gimaga,501715010,,
Halawig-Gogon,501715011,,
Hiwacloy,501715013,,
La Purisima (Pob.),501715014,,
Lamon,501715015,,
Matacla,501715016,,
Maymatan,501715017,,
Maysalay,501715018,,
Napawon,501715019,,
Panday (Pob.),501715020,,
Payatan,501715021,,
Pinaglabanan,501715022,,
Salog,501715023,,
San Benito (Pob.),501715024,,
San Isidro West,501715025,,
San Isidro (Pob.),501715026,,
San Jose (Pob.),501715027,,
San Juan Bautista (Pob.),501715028,,
San Juan Evangelista (Pob.),501715029,,
San Pedro,501715030,,
Scout Fuentebella,501715031,,
Tabgon,501715032,,
Tagongtong,501715033,,
Tamban,501715034,,
Taytay,501715035,,
