Barangays,10 Digit Code,Municipality,10 Digit Code
Agosais,501717001,Lagonoy,501717000
Agpo-Camagong-Tabog,501717002,,
Amoguis,501717003,,
Bocogan,501717004,,
Balaton,501717005,,
Binanuahan,501717006,,
Burabod,501717007,,
Cabotonan,501717008,,
Dahat,501717009,,
Del Carmen,501717010,,
Ginorangan,501717011,,
Gimagtocon,501717012,,
Gubat,501717013,,
Guibahoy,501717014,,
Himanag,501717015,,
Kinahologan,501717016,,
Loho,501717017,,
Manamoc,501717018,,
Mangogon,501717019,,
Mapid,501717020,,
Olas,501717021,,
Omalo,501717022,,
Panagan,501717023,,
Panicuan,501717024,,
Pinamihagan,501717025,,
San Francisco (Pob.),501717026,,
San Isidro,501717027,,
San Isidro Sur (Pob.),501717028,,
San Isidro Norte (Pob.),501717029,,
San Rafael,501717030,,
San Ramon,501717031,,
San Roque,501717032,,
San Sebastian,501717033,,
San Vicente (Pob.),501717034,,
Santa Cruz (Pob.),501717035,,
Santa Maria (Pob.),501717036,,
Saripongpong (Pob.),501717037,,
Sipaco,501717038,,
