Barangays,10 Digit Code,Municipality,10 Digit Code
Aslong,501718001,Libmanan,501718000
Awayan,501718002,,
Bagacay,501718003,,
Bagadion,501718004,,
Bagamelon,501718005,,
Bagumbayan,501718006,,
Bahao,501718007,,
Bahay,501718008,,
Beguito Nuevo,501718009,,
Beguito Viejo,501718010,,
Begajo Norte,501718012,,
Begajo Sur,501718013,,
Bikal,501718014,,
Busak,501718015,,
Caima,501718016,,
Calabnigan,501718017,,
Camambugan,501718018,,
Cambalidio,501718019,,
Candami,501718020,,
Candato,501718021,,
Cawayan,501718022,,
Concepcion,501718023,,
Cuyapi,501718024,,
Danawan,501718025,,
Duang Niog,501718026,,
Handong,501718027,,
Ibid,501718028,,
Inalahan,501718029,,
Labao,501718030,,
Libod I,501718031,,
Libod II,501718032,,
Loba-loba,501718033,,
Mabini,501718035,,
Malansad Nuevo,501718036,,
Malansad Viejo,501718037,,
Malbogon,501718038,,
Malinao,501718039,,
Mambalite,501718040,,
Mambayawas,501718041,,
Mambulo Nuevo,501718042,,
Mambulo Viejo,501718043,,
Mancawayan,501718044,,
Mandacanan,501718045,,
Mantalisay,501718046,,
Padlos,501718047,,
Pag-Oring Nuevo,501718048,,
Pag-Oring Viejo,501718049,,
Palangon,501718050,,
Palong,501718051,,
Patag,501718052,,
Planza,501718053,,
Poblacion,501718054,,
Potot,501718055,,
Puro-Batia,501718056,,
Rongos,501718057,,
Salvacion,501718058,,
San Isidro,501718060,,
San Juan,501718061,,
San Pablo,501718062,,
San Vicente,501718063,,
Sibujo,501718064,,
Sigamot,501718065,,
Station-Church Site,501718066,,
Taban-Fundado,501718067,,
Tampuhan,501718068,,
Tanag,501718069,,
Tarum,501718070,,
Tinalmud Nuevo,501718071,,
Tinalmud Viejo,501718072,,
Tinangkihan,501718073,,
Udoc,501718074,,
Umalo,501718075,,
Uson,501718076,,
Villasocorro,501718077,,
Villadima,501718078,,
