Barangays,10 Digit Code,Municipality,10 Digit Code
Alleomar,501719001,Lupi,501719000
Bagangan Sr.,501719003,,
Bagong Sikat,501719004,,
Bel-Cruz,501719005,,
Bangon,501719006,,
Barrera Jr.,501719007,,
Barrera Sr.,501719008,,
Belwang,501719009,,
Buenasuerte,501719010,,
Bulawan Jr.,501719011,,
Bulawan Sr.,501719012,,
Cabutagan,501719013,,
Kaibigan,501719014,,
Casay,501719015,,
Colacling,501719016,,
Cristo Rey,501719017,,
Del Carmen,501719018,,
Haguimit,501719019,,
Haluban,501719020,,
La Purisima,501719021,,
Lourdes,501719022,,
Mangcawayan,501719024,,
Napolidan,501719025,,
Poblacion,501719027,,
Polantuna,501719028,,
Sagrada,501719029,,
Salvacion,501719030,,
San Isidro,501719031,,
San Jose,501719032,,
San Pedro,501719033,,
San Rafael Norte,501719035,,
San Rafael Sur,501719036,,
San Ramon,501719037,,
San Vicente,501719038,,
Sooc,501719039,,
Tanawan,501719040,,
Tible,501719041,,
Tapi,501719042,,
