Barangays,10 Digit Code,Municipality,10 Digit Code
Alimbuyog,501721001,Milaor,501721000
Amparado (Pob.),501721002,,
Balagbag,501721003,,
Borongborongan,501721004,,
Cabugao,501721005,,
Capucnasan,501721006,,
Dalipay,501721007,,
Del Rosario (Pob.),501721008,,
Flordeliz,501721009,,
Lipot,501721010,,
Mayaopayawan,501721011,,
Maycatmon,501721012,,
Maydaso,501721013,,
San Antonio,501721014,,
San Jose (Pob.),501721015,,
San Miguel (Pob.),501721016,,
San Roque (Pob.),501721017,,
San Vicente (Pob.),501721018,,
Santo Domingo (Pob.),501721019,,
Tarusanan,501721020,,
