Barangays,10 Digit Code,Municipality,10 Digit Code
Antipolo,501722001,Minalabac,501722000
Bagolatao,501722002,,
Bagongbong,501722003,,
Baliuag Nuevo,501722004,,
Baliuag Viejo,501722005,,
Catanusan,501722006,,
Del Carmen-Del Rosario (Pob.),501722007,,
Del Socorro,501722008,,
Hamoraon,501722009,,
Hobo,501722010,,
Irayang Solong,501722011,,
Magadap,501722012,,
Malitbog,501722013,,
Manapao,501722014,,
Mataoroc,501722015,,
Sagrada,501722016,,
Salingogon,501722017,,
San Antonio,501722018,,
San Felipe-Santiago (Pob.),501722019,,
San Francisco (Pob.),501722020,,
San Jose,501722021,,
San Juan-San Lorenzo (Pob.),501722022,,
Taban,501722023,,
Tariric,501722024,,
Timbang,501722025,,
