Barangays,10 Digit Code,Municipality,10 Digit Code
Angustia,501723001,Nabua,501723000
Antipolo Old,501723002,,
Antipolo Young,501723003,,
Aro-aldao,501723004,,
Bustrac,501723005,,
Inapatan,501723006,,
Dolorosa,501723007,,
Duran,501723009,,
La Purisima,501723010,,
Lourdes Old,501723011,,
Lourdes Young,501723012,,
La Opinion,501723015,,
Paloyon Proper,501723016,,
Salvacion Que Gatos,501723018,,
San Antonio (Pob.),501723019,,
San Antonio Ogbon,501723020,,
San Esteban (Pob.),501723021,,
San Francisco (Pob.),501723022,,
San Isidro (Pob.),501723023,,
San Isidro Inapatan,501723024,,
Malawag,501723026,,
San Jose,501723027,,
San Juan (Pob.),501723028,,
San Luis (Pob.),501723029,,
San Miguel (Pob.),501723030,,
San Nicolas (Pob.),501723031,,
San Roque (Pob.),501723033,,
San Roque Madawon,501723034,,
San Roque Sagumay,501723035,,
San Vicente Gorong-Gorong,501723036,,
San Vicente Ogbon,501723037,,
Santa Barbara,501723038,,
Santa Cruz,501723039,,
Santa Elena Baras,501723040,,
Santa Lucia Baras,501723041,,
Santiago Old,501723042,,
Santiago Young,501723043,,
Santo Domingo,501723044,,
Tandaay,501723045,,
Topas Proper,501723046,,
Topas Sogod,501723047,,
Paloyon Oriental,501723048,,
