Barangays,10 Digit Code,Municipality,10 Digit Code
Ayugan,501725001,Ocampo,501725000
Cabariwan,501725002,,
Cagmanaba,501725003,,
Del Rosario,501725004,,
Gatbo,501725005,,
Guinaban,501725006,,
Hanawan,501725007,,
Hibago,501725008,,
La Purisima Nuevo,501725009,,
May-Ogob,501725010,,
New Moriones,501725011,,
Old Moriones,501725012,,
Pinit,501725013,,
Poblacion Central,501725014,,
Poblacion East,501725015,,
Poblacion West,501725016,,
Salvacion,501725017,,
San Antonio,501725018,,
San Francisco,501725019,,
San Jose Oras,501725020,,
San Roque Commonal,501725022,,
San Vicente,501725023,,
Santa Cruz,501725024,,
Santo Niño,501725025,,
Villaflorida,501725026,,
