Barangays,10 Digit Code,Municipality,10 Digit Code
Agao-ao,501730001,Ragay,501730000
Agrupacion,501730002,,
Amomokpok,501730003,,
Apad,501730004,,
Apale,501730005,,
Banga Caves,501730006,,
Baya,501730007,,
Binahan Proper,501730008,,
Binahan Upper,501730009,,
Buenasuerte,501730010,,
Cabadisan,501730011,,
Cabinitan,501730012,,
Cabugao,501730013,,
Caditaan,501730014,,
Cale,501730015,,
Godofredo Reyes Sr.,501730016,,
Catabangan Proper,501730017,,
Inandawa,501730018,,
Laguio,501730019,,
Lanipga-Cawayan,501730020,,
Liboro,501730021,,
Lohong,501730022,,
Lower Omon,501730023,,
Lower Santa Cruz,501730024,,
Panaytayan,501730026,,
Panaytayan Nuevo,501730027,,
Patalunan,501730028,,
Poblacion Ilaod,501730029,,
Poblacion Iraya,501730030,,
Port Junction Norte,501730031,,
Port Junction Sur,501730032,,
Salvacion,501730034,,
Samay,501730035,,
San Rafael,501730036,,
F. Simeon,501730037,,
Tagbac,501730038,,
Upper Omon,501730039,,
Upper Santa Cruz,501730040,,
