Barangays,10 Digit Code,Municipality,10 Digit Code
Aniog,501731001,Sagñay,501731000
Atulayan,501731002,,
Bongalon,501731003,,
Buracan,501731004,,
Catalotoan,501731005,,
Del Carmen (Pob.),501731006,,
Kilantaao,501731007,,
Kilomaon,501731008,,
Mabca,501731010,,
Minadongjol,501731011,,
Nato,501731012,,
Patitinan,501731014,,
San Antonio (Pob.),501731015,,
San Isidro (Pob.),501731017,,
San Roque (Pob.),501731018,,
Santo Niño,501731019,,
Sibaguan,501731020,,
Tinorongan,501731022,,
Turague,501731023,,
