Barangays,10 Digit Code,Municipality,10 Digit Code
Adiangao,501733001,San Jose,501733000
Bagacay,501733002,,
Bahay,501733003,,
Boclod,501733004,,
Calalahan,501733005,,
Calawit,501733006,,
Camagong,501733007,,
Catalotoan,501733008,,
Danlog,501733009,,
Del Carmen (Pob.),501733010,,
Dolo,501733011,,
Kinalansan,501733012,,
Mampirao,501733013,,
Manzana,501733014,,
Minoro,501733015,,
Palale,501733016,,
Ponglon,501733017,,
Pugay,501733018,,
Sabang,501733019,,
Salogon,501733020,,
San Antonio (Pob.),501733021,,
San Juan (Pob.),501733023,,
San Vicente (Pob.),501733024,,
Santa Cruz (Pob.),501733025,,
Soledad (Pob.),501733026,,
Tagas,501733027,,
Tambangan,501733028,,
Telegrafo,501733029,,
Tominawog,501733030,,
