Barangays,10 Digit Code,Municipality,10 Digit Code
Aldezar,501734001,Sipocot,501734000
Alteza,501734002,,
Anib,501734003,,
Awayan,501734004,,
Azucena,501734005,,
Bagong Sirang,501734006,,
Binahian,501734007,,
Bolo Sur,501734008,,
Bolo Norte,501734009,,
Bulan,501734010,,
Bulawan,501734011,,
Cabuyao,501734012,,
Caima,501734013,,
Calagbangan,501734014,,
Calampinay,501734015,,
Carayrayan,501734016,,
Cotmo,501734017,,
Gabi,501734018,,
Gaongan,501734019,,
Impig,501734020,,
Lipilip,501734021,,
Lubigan Jr.,501734022,,
Lubigan Sr.,501734023,,
Malaguico,501734024,,
Malubago,501734025,,
Manangle,501734026,,
Mangga,501734027,,
Mangapo,501734028,,
Manlubang,501734029,,
Mantila,501734030,,
North Centro (Pob.),501734031,,
North Villazar,501734032,,
Sagrada Familia,501734034,,
Salanda,501734035,,
Salvacion,501734036,,
San Isidro,501734037,,
San Vicente,501734038,,
Serranzana,501734039,,
South Centro (Pob.),501734040,,
South Villazar,501734041,,
Taisan,501734042,,
Tara,501734043,,
Tible,501734044,,
Tula-tula,501734045,,
Vigaan,501734046,,
Yabo,501734048,,
