Barangays,10 Digit Code,Municipality,10 Digit Code
Bagong Sirang,501735001,Siruma,501735000
Bahao,501735002,,
Boboan,501735003,,
Butawanan,501735004,,
Cabugao,501735005,,
Fundado,501735006,,
Homestead,501735008,,
La Purisima,501735009,,
Mabuhay,501735010,,
Malaconini,501735011,,
Nalayahan,501735012,,
Matandang Siruma,501735013,,
Pinitan,501735014,,
Poblacion,501735015,,
Pamintan-Bantilan,501735016,,
Salvacion,501735017,,
San Andres,501735018,,
San Ramon,501735019,,
Sulpa,501735020,,
Tandoc,501735021,,
Tongo-Bantigue,501735022,,
Vito,501735023,,
