Barangays,10 Digit Code,Municipality,10 Digit Code
Abo,501736001,Tigaon,501736000
Cabalinadan,501736002,,
Caraycayon,501736003,,
Casuna,501736004,,
Consocep,501736005,,
Coyaoyao,501736006,,
Gaao,501736007,,
Gingaroy,501736008,,
Gubat,501736009,,
Huyonhuyon,501736010,,
Libod,501736011,,
Mabalodbalod,501736012,,
May-Anao,501736013,,
Panagan,501736014,,
Poblacion,501736015,,
Salvacion,501736016,,
San Antonio,501736018,,
San Francisco,501736019,,
San Miguel,501736020,,
San Rafael,501736021,,
Talojongon,501736022,,
Tinawagan,501736023,,
Vinagre,501736024,,
