Barangays,10 Digit Code,Municipality,10 Digit Code
Agay-Ayan,501737001,Tinambac,501737000
Antipolo,501737002,,
Bagacay,501737003,,
Banga,501737004,,
Bolaobalite,501737005,,
Bani,501737006,,
Bataan,501737007,,
Binalay,501737008,,
Buenavista,501737009,,
Buyo,501737010,,
Cagliliog,501737011,,
Caloco,501737012,,
Camagong,501737013,,
Canayonan,501737014,,
Cawaynan,501737015,,
Daligan,501737016,,
Filarca (Pob.),501737017,,
La Purisima (Pob.),501737018,,
Lupi,501737019,,
Magsaysay,501737020,,
Magtang,501737021,,
Mananao,501737022,,
La Medalla,501737023,,
New Caaluan,501737024,,
Olag Grande,501737025,,
Olag Pequeño,501737026,,
Old Caaluan,501737027,,
Pag-Asa,501737028,,
Pantat,501737029,,
Sagrada,501737030,,
Salvacion,501737031,,
San Antonio,501737032,,
San Isidro (Pob.),501737033,,
San Jose,501737034,,
San Pascual (Pob.),501737035,,
San Ramon,501737036,,
San Roque,501737037,,
San Vicente,501737038,,
Santa Cruz (Pob.),501737039,,
Sogod,501737040,,
Tambang,501737041,,
Tierra Nevada,501737042,,
Union,501737043,,
Salvacion Poblacion,501737044,,
