Barangays,10 Digit Code,Municipality,10 Digit Code
Abihao,502002001,Baras,502002000
Agban,502002002,,
Bagong Sirang,502002003,,
Benticayan,502002004,,
Buenavista,502002005,,
Caragumihan,502002006,,
Batolinao,502002007,,
Danao,502002008,,
Sagrada,502002009,,
Ginitligan,502002010,,
Guinsaanan,502002011,,
J. M. Alberto,502002012,,
Macutal,502002013,,
Moning,502002014,,
Nagbarorong,502002015,,
Osmeña,502002016,,
P. Teston,502002017,,
Paniquihan,502002018,,
Eastern Poblacion,502002019,,
Puraran,502002020,,
Putsan,502002021,,
Quezon,502002022,,
Rizal,502002023,,
Salvacion,502002024,,
San Lorenzo,502002025,,
San Miguel,502002026,,
Santa Maria,502002027,,
Tilod,502002028,,
Western Poblacion,502002029,,
