Barangays,10 Digit Code,Municipality,10 Digit Code
Aroyao Pequeño,502003001,Bato,502003000
Bagumbayan,502003002,,
Banawang,502003003,,
Batalay,502003004,,
Binanuahan,502003005,,
Bote,502003006,,
Buenavista,502003007,,
Cabugao,502003008,,
Cagraray,502003009,,
Carorian,502003010,,
Guinobatan,502003011,,
Libjo,502003012,,
Marinawa,502003013,,
Mintay,502003014,,
Oguis,502003015,,
Pananaogan,502003016,,
Libod Poblacion,502003017,,
San Andres,502003018,,
San Pedro,502003019,,
San Roque,502003020,,
Santa Isabel,502003021,,
Sibacungan,502003022,,
Sipi,502003023,,
Talisay,502003024,,
Tamburan,502003025,,
Tilis,502003026,,
Ilawod (Pob.),502003027,,
