Barangays,10 Digit Code,Municipality,10 Digit Code
Baybay (Pob.),502004001,Caramoran,502004000
Bocon,502004002,,
Bothoan (Pob.),502004003,,
Buenavista,502004004,,
Bulalacao,502004005,,
Camburo,502004006,,
Dariao,502004007,,
Datag East,502004008,,
Datag West,502004009,,
Guiamlong,502004010,,
Hitoma,502004011,,
Icanbato (Pob.),502004012,,
Inalmasinan,502004013,,
Iyao,502004014,,
Mabini,502004015,,
Maui,502004017,,
Maysuran,502004018,,
Milaviga,502004019,,
Panique,502004020,,
Sabangan,502004021,,
Sabloyon,502004022,,
Salvacion,502004023,,
Supang,502004024,,
Toytoy (Pob.),502004025,,
Tubli,502004026,,
Tucao,502004027,,
Obi,502004028,,
