Barangays,10 Digit Code,Municipality,10 Digit Code
Bagawang,502006001,Pandan,502006000
Balagñonan,502006002,,
Baldoc,502006003,,
Canlubi,502006004,,
Santa Cruz,502006005,,
Catamban,502006006,,
Cobo,502006007,,
Hiyop,502006009,,
Libod (Pob.),502006010,,
Lourdes,502006011,,
Lumabao,502006012,,
Marambong,502006013,,
Napo (Pob.),502006014,,
Oga,502006015,,
Pandan Del Norte (Pob.),502006016,,
Pandan Del Sur (Pob.),502006017,,
Panuto,502006018,,
Salvacion,502006019,,
San Andres,502006020,,
San Isidro,502006021,,
Porot,502006022,,
San Rafael,502006023,,
San Roque,502006024,,
Tabugoc,502006025,,
Tokio,502006026,,
Wagdas,502006027,,
