Barangays,10 Digit Code,Municipality,10 Digit Code
Alinawan,502007001,Panganiban,502007000
Babaguan,502007002,,
Bagong Bayan,502007003,,
Burabod,502007005,,
Cabuyoan,502007006,,
Cagdarao,502007007,,
Mabini,502007008,,
Maculiw,502007009,,
Panay,502007010,,
Taopon,502007011,,
Salvacion (Pob.),502007013,,
San Antonio,502007014,,
San Joaquin (Pob.),502007015,,
San Jose (Pob.),502007016,,
San Juan (Pob.),502007017,,
San Miguel,502007018,,
San Nicolas (Pob.),502007019,,
San Pedro (Pob.),502007020,,
San Vicente (Pob.),502007021,,
Santa Ana (Pob.),502007022,,
Santa Maria (Pob.),502007023,,
Santo Santiago (Pob.),502007024,,
Tibo,502007026,,
