Barangays,10 Digit Code,Municipality,10 Digit Code
Agojo,502008001,San Andres,502008000
Alibuag,502008002,,
Asgad,502008003,,
Bagong Sirang,502008004,,
Barihay,502008005,,
Batong Paloway,502008006,,
Belmonte (Pob.),502008007,,
Bislig,502008008,,
Bon-ot,502008009,,
Cabungahan,502008010,,
Cabcab,502008011,,
Carangag,502008012,,
Catagbacan,502008013,,
Codon,502008014,,
Comagaycay,502008015,,
Datag,502008016,,
Divino Rostro (Pob.),502008017,,
Esperanza (Pob.),502008018,,
Hilawan,502008019,,
Lictin,502008020,,
Lubas,502008021,,
Manambrag,502008022,,
Mayngaway,502008023,,
Palawig,502008024,,
Puting Baybay,502008025,,
Rizal,502008026,,
Salvacion (Pob.),502008027,,
San Isidro,502008028,,
San Jose,502008029,,
San Roque (Pob.),502008030,,
San Vicente,502008031,,
Santa Cruz (Pob.),502008032,,
Sapang Palay (Pob.),502008033,,
Tibang,502008034,,
Timbaan,502008035,,
Tominawog,502008036,,
Wagdas (Pob.),502008037,,
Yocti,502008038,,
