Barangays,10 Digit Code,Municipality,10 Digit Code
Balatohan,502009001,San Miguel,502009000
Salvacion,502009002,,
Boton,502009003,,
Buhi,502009004,,
Dayawa,502009005,,
Atsan,502009006,,
Poblacion District II,502009007,,
Poblacion District III,502009008,,
J. M. Alberto,502009009,,
Katipunan,502009010,,
Kilikilihan,502009011,,
Mabato,502009012,,
Obo,502009013,,
Pacogon,502009014,,
Pagsangahan,502009015,,
Pangilao,502009016,,
Paraiso,502009017,,
Santa Elena,502009018,,
Progreso,502009019,,
San Juan,502009020,,
San Marcos,502009021,,
Siay,502009022,,
Solong,502009023,,
Tobrehon,502009024,,
