Barangays,10 Digit Code,Municipality,10 Digit Code
Almojuela,502010001,Viga,502010000
Ananong,502010002,,
Asuncion (Pob.),502010003,,
Batohonan,502010004,,
Begonia,502010005,,
Botinagan,502010006,,
Buenavista,502010007,,
Burgos,502010008,,
Del Pilar,502010009,,
Mabini,502010010,,
Magsaysay,502010011,,
Ogbong,502010012,,
Osmeña,502010013,,
Pedro Vera,502010014,,
Peñafrancia (Pob.),502010015,,
Quezon,502010016,,
Quirino,502010017,,
Rizal,502010018,,
Roxas,502010019,,
Sagrada,502010020,,
San Isidro (Pob.),502010021,,
San Jose Poblacion,502010022,,
San Jose Oco,502010023,,
San Pedro (Pob.),502010024,,
San Roque (Pob.),502010025,,
San Vicente (Pob.),502010026,,
Santa Rosa,502010027,,
Soboc,502010028,,
Tambongon,502010029,,
Tinago,502010030,,
Villa Aurora,502010031,,
