Barangays,10 Digit Code,Municipality,10 Digit Code
Antipolo Del Norte,502011001,Virac (Capital),502011000
Antipolo Del Sur,502011002,,
Balite,502011003,,
Batag,502011004,,
Bigaa,502011005,,
Buenavista,502011006,,
Buyo,502011007,,
Cabihian,502011008,,
Calabnigan,502011009,,
Calampong,502011010,,
Calatagan Proper,502011011,,
Calatagan Tibang,502011012,,
Capilihan,502011013,,
Casoocan,502011014,,
Cavinitan,502011015,,
Gogon Sirangan,502011016,,
Concepcion (Pob.),502011017,,
Constantino (Pob.),502011018,,
Danicop,502011019,,
Dugui San Vicente,502011020,,
Dugui San Isidro,502011021,,
Dugui Too,502011023,,
F. Tacorda Village,502011024,,
Francia (Pob.),502011025,,
Gogon Centro,502011026,,
Hawan Grande,502011027,,
Hawan Ilaya,502011028,,
Hicming,502011029,,
Igang,502011030,,
Juan M. Alberto,502011031,,
Lanao (Pob.),502011032,,
Magnesia Del Norte,502011033,,
Magnesia Del Sur,502011034,,
Marcelo Alberto (Pob.),502011035,,
Marilima,502011036,,
Pajo Baguio,502011037,,
Pajo San Isidro,502011038,,
Palnab Del Norte,502011039,,
Palnab Del Sur,502011040,,
Palta Big,502011041,,
Palta Salvacion,502011042,,
Palta Small,502011043,,
Rawis (Pob.),502011044,,
Salvacion,502011045,,
San Isidro Village,502011046,,
San Jose (Pob.),502011047,,
San Juan (Pob.),502011048,,
San Pablo (Pob.),502011049,,
San Pedro (Pob.),502011050,,
San Roque (Pob.),502011051,,
San Vicente,502011052,,
Ibong Sapa,502011053,,
Santa Cruz,502011054,,
Santa Elena (Pob.),502011055,,
Santo Cristo,502011056,,
Santo Domingo,502011057,,
Santo Niño,502011058,,
Simamla,502011059,,
Sogod-Simamla,502011061,,
Talisoy,502011062,,
Sogod-Tibgao,502011063,,
Tubaon,502011064,,
Valencia,502011065,,
