Barangays,10 Digit Code,City,10 Digit Code
Anas,504111001,City of Masbate (Capital),504111000
Asid,504111002,,
B. Titong,504111003,,
Bagumbayan,504111004,,
Bantigue,504111005,,
Bapor (Pob.),504111006,,
Batuhan,504111007,,
Bayombon,504111008,,
Biyong,504111009,,
Bolo,504111010,,
Cagay,504111011,,
Cawayan Exterior,504111012,,
Cawayan Interior,504111013,,
Centro (Pob.),504111014,,
Espinosa,504111015,,
F. Magallanes,504111016,,
Ibingay,504111017,,
Igang,504111018,,
Kalipay (Pob.),504111019,,
Kinamaligan,504111020,,
Malinta,504111021,,
Mapiña,504111022,,
Mayngaran,504111023,,
Nursery,504111024,,
Pating (Pob.),504111025,,
Pawa,504111026,,
Sinalongan,504111027,,
Tugbo,504111028,,
Ubongan Dacu,504111029,,
Usab,504111030,,
