Barangays,10 Digit Code,Municipality,10 Digit Code
Ambolong,504101001,Aroroy,504101000
Amoroy,504101002,,
Amotag,504101003,,
Bagauma,504101004,,
Balawing,504101005,,
Balete,504101006,,
Bangon,504101007,,
Cabangcalan,504101008,,
Cabas-An,504101009,,
Calanay,504101010,,
Capsay,504101011,,
Concepcion,504101012,,
Dayhagan,504101013,,
Don Pablo Dela Rosa,504101014,,
Gumahang,504101015,,
Jaboyoan,504101016,,
Lanang,504101017,,
Luy-a,504101018,,
Macabug,504101019,,
Malubi,504101020,,
Managanaga,504101021,,
Manamoc,504101022,,
Mariposa,504101023,,
Mataba,504101024,,
Matalangtalang,504101025,,
Matongog,504101026,,
Nabongsoran,504101027,,
Pangle,504101028,,
Panique,504101029,,
Pinanaan,504101030,,
Poblacion,504101031,,
Puro,504101032,,
San Agustin,504101033,,
San Isidro,504101034,,
Sawang,504101035,,
Syndicate,504101036,,
Talabaan,504101037,,
Talib,504101038,,
Tigbao,504101039,,
Tinago,504101040,,
Tinigban,504101041,,
