Barangays,10 Digit Code,Municipality,10 Digit Code
Baao,504102001,Baleno,504102000
Banase,504102002,,
Batuila,504102003,,
Cagara,504102004,,
Cagpandan,504102005,,
Cancahorao,504102006,,
Canjunday,504102007,,
Docol,504102008,,
Eastern Capsay,504102009,,
Gabi,504102010,,
Gangao,504102011,,
Lagta,504102012,,
Lahong Proper,504102013,,
Lahong Interior,504102014,,
Lipata,504102015,,
Madangcalan,504102016,,
Magdalena,504102017,,
Manoboc,504102018,,
Obongon Diot,504102019,,
Poblacion,504102020,,
Polot,504102021,,
Potoson,504102022,,
Sog-Ong,504102023,,
Tinapian,504102024,,
