Barangays,10 Digit Code,Municipality,10 Digit Code
Baybay,504103001,Balud,504103000
Bongcanaway,504103002,,
Mabuhay,504103003,,
Calumpang,504103004,,
Cantil,504103005,,
Casamongan,504103006,,
Dao,504103007,,
Danao,504103008,,
Guinbanwahan,504103009,,
Ilaya,504103010,,
Jangan,504103011,,
Jintotolo,504103012,,
Mapili,504103013,,
Mapitogo,504103014,,
Pajo,504103015,,
Palane,504103016,,
Panguiranan,504103017,,
Panubigan,504103018,,
Poblacion,504103019,,
Pulanduta,504103020,,
Quinayangan Diotay,504103021,,
Quinayangan Tonga,504103022,,
Salvacion,504103023,,
Sampad,504103024,,
San Andres,504103025,,
San Antonio,504103026,,
Sapatos,504103027,,
Talisay,504103029,,
Tonga,504103030,,
Ubo,504103031,,
Victory,504103032,,
Villa Alvarez,504103033,,
