Barangays,10 Digit Code,Municipality,10 Digit Code
Abaca,504105001,Cataingan,504105000
Aguada,504105002,,
Badiang,504105003,,
Bagumbayan,504105004,,
Cadulawan,504105005,,
Cagbatang,504105006,,
Chimenea,504105007,,
Concepcion,504105008,,
Curvada,504105010,,
Divisoria,504105011,,
Domorog,504105012,,
Estampar,504105013,,
Gahit,504105014,,
Libtong,504105015,,
Liong,504105016,,
Maanahao,504105017,,
Madamba,504105018,,
Malobago,504105019,,
Matayum,504105020,,
Matubinao,504105021,,
Mintac,504105022,,
Nadawisan,504105023,,
Osmeña,504105024,,
Pawican,504105025,,
Pitogo,504105026,,
Poblacion,504105027,,
Quezon,504105028,,
San Isidro,504105029,,
San Jose,504105030,,
San Pedro,504105031,,
San Rafael,504105032,,
Santa Teresita,504105033,,
Santo Niño,504105034,,
Tagboan,504105036,,
Tuybo,504105037,,
Villa Pogado,504105038,,
